TITLE,DOMAINE / FIELD,pISSN,eISSN,FNEGE_2019,FNEGE_2022,FNEGE_2025
ANNALS OF OPERATIONS RESEARCH,GEN MAN,0254-5330,1572-9338,2,2,2
ANNALS OF PUBLIC AND COOPERATIVE ECONOMICS,PUB MAN,1370-4788,1467-8292,4,4,4
ANNALS OF TOURISM RESEARCH,SECTOR,0160-7383,1873-7722,2,2,2
ANNUAL REVIEW OF INFORMATION SCIENCE AND TECHNOLOGY,MIS,0066-4200,1550-8382,,,4
ANNUAL REVIEW OF ORGANIZATIONAL PSYCHOLOGY AND ORGANIZATIONAL BEHAVIOR,ORG STUD,2327-0608,2327-0616,4,4,3
ANNUAL REVIEW OF SOCIOLOGY,BUS SOC,0360-0572,1545-2115,,2,2
APPETITE,SECTOR,0092-0703,1095-8304,,,3
APPLIED ECONOMICS,FIN,0003-6846,1466-4283,,3,3
APPLIED FINANCIAL ECONOMICS,FIN,0960-3107,1466-4305,4,4,4
APPLIED MATHEMATICAL FINANCE,FIN,1350-486X,1466-4313,4,4,4
APPLIED PSYCHOLOGY: AN INTERNATIONAL REVIEW,HRM,0269-994X,1464-0597,3,2,2
ARTS AND THE MARKET,SECTOR,2056-4945,2056-4953,,,4
ASIA PACIFIC BUSINESS REVIEW,INT,1360-2381,1743-792X,4,4,4
ASIA PACIFIC JOURNAL OF HUMAN RESOURCES,HRM,1038-4111,1744-7941,4,4,4
ASIA PACIFIC JOURNAL OF MANAGEMENT,GEN MAN,0217-4561,1572-9958,3,3,3
ASIAN BUSINESS AND MANAGEMENT,GEN MAN,1472-4782,1476-9328,,4,4
ASIAN JOURNAL OF TECHNOLOGY INNOVATION,INNOV,1976-1597,2158-6721,,,4
ASIA-PACIFIC JOURNAL OF ACCOUNTING AND ECONOMICS,ACC,1608-1625,2164-2257,,4,4
ASLIB JOURNAL OF INFORMATION MANAGEMENT,MIS,2050-3806,2050-3814,,,4
ASTIN BULLETIN,FIN,0515-0361,1783-1350,3,3,3
AUDITING-A JOURNAL OF PRACTICE & THEORY,ACC,0278-0380,1558-7991,2,2,2
AUSTRALASIAN JOURNAL OF INFORMATION SYSTEMS,MIS,1326-2238,1449-8618,,,4
AUSTRALIAN ACCOUNTING REVIEW,ACC,1035-6908,1835-2561,,4,3
AUSTRALIAN JOURNAL OF MANAGEMENT,GEN MAN,0312-8962,1327-2020,,4,4
AUSTRALIAN JOURNAL OF PUBLIC ADMINISTRATION,PUB MAN,0313-6647,1467-8500,,,4
BALTIC JOURNAL OF MANAGEMENT,GEN MAN,1746-5265,1746-5273,,4,4
"BANKERS, MARKETS AND INVESTORS",FIN,2101-9304,2726-8004,3,4,4
BEHAVIORAL RESEARCH IN ACCOUNTING,ACC,1050-4753,1558-8009,3,3,3
BEHAVIOUR AND INFORMATION TECHNOLOGY,MIS,0144-929X,1362-3001,,,3
BENCHMARKING: AN INTERNATIONAL JOURNAL,GEN MAN,1463-5771,1758-4094,,,4
BMC HEALTH SERVICES RESEARCH,HLTH,1472-6963,1472-6963,3,4,4
BMJ QUALITY AND SAFETY (ORIGINAL RESEARCH),HLTH,2044-5415,2044-5423,2,2,3
BRITISH ACCOUNTING REVIEW,ACC,0890-8389,1095-8347,3,3,2
BRITISH EDUCATIONAL RESEARCH JOURNAL,EDUC,0141-1926,1469-3518,,,4
BRITISH FOOD JOURNAL,SECTOR,0007-070X,1758-4108,,4,3
BRITISH JOURNAL OF EDUCATIONAL TECHNOLOGY,MIS,0007-1013,1467-8535,,,3
BRITISH JOURNAL OF INDUSTRIAL RELATIONS,HRM,0007-1080,1467-8543,2,2,1
BRITISH JOURNAL OF MANAGEMENT,GEN MAN,1045-3172,1467-8551,2,1,2
BRITISH JOURNAL OF SOCIOLOGY,BUS SOC,0007-1315,1468-4446,,3,3
BRQ BUSINESS RESEARCH QUARTERLY,GEN MAN,2340-9436,2340-9444,,,4
BUILDING RESEARCH AND INFORMATION,SECTOR,0961-3218,1466-4321,,4,4
BULLETIN OF THE WORLD HEALTH ORGANIZATION,HLTH,0042-9686,1564-0604,3,4,4
BUSINESS AND INFORMATION SYSTEMS ENGINEERING (BISE) (FORMERLY: WIRTSCHAFTSINFORMATIK (WI)),MIS,1867-0202,2363-7005,3,4,3
BUSINESS AND POLITICS,BUS SOC,1369-5258,1469-3569,,4,4
BUSINESS AND PROFESSIONAL ETHICS JOURNAL,GEN MAN,0277-2027,2153-7828,,4,4
BUSINESS AND SOCIETY,BUS SOC,0007-6503,1552-4205,2,2,2
BUSINESS AND SOCIETY REVIEW,BUS SOC,0045-3609,1467-8594,,,4
BUSINESS ETHICS QUARTERLY,HRM,1052-150X,2153-3326,2,2,2
"BUSINESS ETHICS, THE ENVIRONMENT & RESPONSIBILITY",HRM,0962-8770,1467-8608,3,3,3
"BUSINESS ETHICS, THE ENVIRONMENT AND RESPONSIBILITY",BUS SOC,2694-6416,2694-6424,,3,3
BUSINESS HISTORY,BUS HIST,0007-6791,1743-7938,2,2,2
BUSINESS HISTORY REVIEW,BUS HIST,0007-6805,2044-768X,3,3,2
BUSINESS HORIZONS,GEN MAN,0007-6813,1873-6068,3,3,3
BUSINESS PROCESS MANAGEMENT JOURNAL,MIS,1463-7154,1758-4116,3,4,3
BUSINESS STRATEGY AND THE ENVIRONMENT,STRAT,0964-4733,1099-0836,3,3,3
CALIFORNIA MANAGEMENT REVIEW,GEN MAN,0008-1256,2162-8564,2,2,2
CANADIAN JOURNAL OF NONPROFIT AND SOCIAL ECONOMY RESEARCH,GEN MAN,1920-9355,1920-9355,,,4
CAREER DEVELOPMENT INTERNATIONAL,HRM,1362-0436,1758-6003,4,4,4
CAREER DEVELOPMENT QUARTERLY,HRM,0889-4019,2161-0045,,4,4
CITIES,PUB MAN,0264-2751,0264-2751,,,4
COGENT BUSINESS & MANAGEMENT,GEN MAN,2331-1975,2331-1975,,,4
COMMUNICATION ET MANAGEMENT,GEN MAN,1779-3572,2271-734X,4,4,4
COMMUNICATIONS OF THE ACM,MIS,0001-0782,1557-7317,,,3
COMMUNICATIONS OF THE ASSOCIATION FOR INFORMATION SYSTEMS,MIS,1529-3181,1529-3181,4,4,3
COMPETITION AND CHANGE,GEN MAN,1024-5294,1477-2221,3,3,3
COMPTABILITÉ-CONTRÔLE-AUDIT,ACC,1262-2788,2313-514X,2,2,2
COMPUTATIONAL AND MATHEMATICAL ORGANIZATION THEORY,ORG STUD,1381-298X,1572-9346,,,4
COMPUTER SUPPORTED COOPERATIVE WORK,MIS,0925-9724,1573-7551,,,4
COMPUTERS & INDUSTRIAL ENGINEERING,MIS,0360-8352,1879-0550,3,3,3
COMPUTERS IN HUMAN BEHAVIOR,MIS,0747-5632,1873-7692,,,3
"CONSUMPTION, MARKETS AND CULTURE",MKG,1025-3866,1477-223X,3,3,3
CONTEMPORARY ACCOUNTING RESEARCH,ACC,0823-9150,1911-3846,1,1,1
CORNELL HOSPITALITY QUARTERLY,SECTOR,1938-9663,1938-9663,,4,4
CORPORATE GOVERNANCE (BRADFORD OU BINGLEY),FIN,1472-0701,1758-6054,,,4
CORPORATE GOVERNANCE: AN INTERNATIONAL REVIEW,GEN MAN,0964-8410,1467-8683,3,3,3
CORPORATE SOCIAL RESPONSIBILITY AND ENVIRONMENTAL MANAGEMENT,GEN MAN,1535-3958,1535-3966,3,3,3
CREATIVITY AND INNOVATION MANAGEMENT,INNOV,0963-1690,1467-8691,3,3,3
CREATIVITY RESEARCH JOURNAL,INNOV,1040-0419,1532-6934,4,4,4
CRITICAL FINANCE REVIEW,FIN,2164-5744,2164-5760,,,4
CRITICAL PERSPECTIVES ON ACCOUNTING,ACC,1045-2354,1095-9955,2,2,2
CRITICAL PERSPECTIVES ON INTERNATIONAL BUSINESS,INT,1742-2043,1758-6062,4,4,3
CROSS-CULTURAL MANAGEMENT: AN INTERNATIONAL JOURNAL (FORMELY: CROSS CULTURAL & STRATEGIC MANAGEMENT),INT,2059-5794,2059-5794,4,4,3
CULTURE AND ORGANIZATION,ORG STUD,1475-9551,1477-2760,4,4,3
CURRENT ISSUES IN TOURISM,SECTOR,1368-3500,1747-7603,3,3,3
CURRENT SOCIOLOGY,BUS SOC,0268-5809,1461-7064,,4,4
DATABASE FOR ADVANCES IN INFORMATION SYSTEMS,MIS,1532-0936,1532-0936,4,4,3
DECISION SCIENCES,MIS,0011-7315,1540-5915,2,2,2
DECISION SCIENCES JOURNAL OF INNOVATIVE EDUCATION,EDUC,1540-4609,1552-6763,,,4
DECISION SUPPORT SYSTEMS,MIS,0167-9236,1873-5797,1,2,2
DECISIONS IN ECONOMICS AND FINANCE,FIN,1129-6569,1593-8883,,,4
DÉCISIONS MARKETING,MKG,0779-7389,2269-8469,3,3,3
DEVELOPMENT AND CHANGE,BUS SOC,0012-155X,1467-7660,,3,3
ECOLOGICAL ECONOMICS,BUS SOC,1873-6106,1989-2021,,2,2
ECONOMETRICA,FIN,0012-9682,1468-0262,,1*,1*
ECONOMIC AND INDUSTRIAL DEMOCRACY,HRM,0143-831X,1461-7099,3,3,3
ECONOMIC GEOGRAPHY,BUS SOC,0013-0095,1944-8287,,1,1
ECONOMIC MODELLING,FIN,0264-9993,1873-6122,,3,3
ECONOMICA,GEN MAN,0013-0427,1468-0335,,3,3
ECONOMICS OF INNOVATION AND NEW TECHNOLOGY,INNOV,1043-8599,1476-8364,4,4,3
ECONOMY AND SOCIETY,BUS SOC,0308-5147,1469-5766,,3,3
ELECTRONIC COMMERCE RESEARCH,MKG,1389-5753,1572-9362,,4,4
ELECTRONIC COMMERCE RESEARCH AND APPLICATIONS,MIS,1567-4223,1873-7846,3,4,4
ELECTRONIC MARKETS,MIS,1019-6781,1422-8890,3,3,3
EMERGING MARKETS FINANCE AND TRADE,FIN,1540-496X,1558-0938,,4,4
EMERGING MARKETS REVIEW,FIN,1566-0141,1873-6173,3,3,3
EMPLOYEE RELATIONS,HRM,0142-5455,1758-7069,3,3,3
ENERGY ECONOMICS,SECTOR,0140-9883,1873-6181,,2,2
ENERGY JOURNAL,SECTOR,0195-6574,1944-9089,,2,2
ENERGY POLICY,SECTOR,0301-4215,1873-6777,,2,2
ENERGY RESEARCH & SOCIAL SCIENCE,SECTOR,2214-6296,2214-6296,,,4
"ENGINEERING, CONSTRUCTION AND ARCHITECTURAL MANAGEMENT",SECTOR,0969-9988,1365-232X,,4,4
ENTERPRISE & SOCIETY,BUS HIST,1467-2227,1467-2235,3,3,3
ENTERPRISE INFORMATION SYSTEMS,MIS,1751-7575,1751-7583,,,3
ENTREPRENDRE & INNOVER,INNOV,2034-7634,2034-7642,4,4,4
ENTREPRENEURSHIP AND REGIONAL DEVELOPMENT,INNOV,0898-5626,1464-5114,2,2,2
ENTREPRENEURSHIP RESEARCH JOURNAL,INNOV,2157-5665,2157-5665,4,4,3
ENTREPRENEURSHIP THEORY AND PRACTICE,INNOV,1042-2587,1540-6520,1,1,1*
ENTREPRISE ET SOCIÉTÉ,BUS SOC,2553-7830,2554-9626,EM,4,4
ENTREPRISES ET HISTOIRE,BUS HIST,1161-2770,2100-9864,4,3,4
ENVIRONMENT AND PLANNING A,SECTOR,0308-518X,1472-3409,,2,2
ENVIRONMENT AND PLANNING C,SECTOR,2399-6544,2399-6552,,,4
ENVIRONMENT AND PLANNING D,BUS SOC,1472-3433,1472-3433,,4,4
ENVIRONMENTAL AND RESOURCE ECONOMICS,BUS SOC,0924-6460,1573-1502,,2,2
ENVIRONMENTAL MANAGEMENT,SECTOR,0364-152X,1432-1009,,4,4
ENVIRONMENTAL SCIENCE & TECHNOLOGY,BUS SOC,0013-936X,1520-5851,,,4
"EQUALITY, DIVERSITY AND INCLUSION: AN INTERNATIONAL JOURNAL",HRM,0261-0159,2040-7149,,4,4
E-SERVICE JOURNAL,MIS,1528-8226,1528-8234,,,4
ETHICS AND INFORMATION TECHNOLOGY,MIS,1388-1957,1572-8439,,,4
EURASIAN BUSINESS REVIEW,GEN MAN,1309-4297,2147-4281,,4,4
EURO JOURNAL ON TRANSPORTATION AND LOGISTICS,SECTOR,2192-4376,2192-4384,,,3
EUROPEAN ACCOUNTING REVIEW,ACC,0963-8180,1468-4497,2,2,2
EUROPEAN BUSINESS REVIEW,GEN MAN,0955-534X,1758-7107,3,3,3
EUROPEAN FINANCIAL MANAGEMENT,FIN,1354-7798,1468-036X,3,3,3
EUROPEAN JOURNAL OF HEALTH ECONOMICS,HLTH,1618-7598,1618-7601,,,3
EUROPEAN JOURNAL OF INDUSTRIAL RELATIONS,HRM,0959-6801,1461-7129,3,3,3
EUROPEAN JOURNAL OF INFORMATION SYSTEMS,MIS,0960-085X,1476-9344,1,1,1*
EUROPEAN JOURNAL OF INNOVATION MANAGEMENT,INNOV,1460-1060,1758-7115,4,4,3
EUROPEAN JOURNAL OF INTERNATIONAL MANAGEMENT,INT,1751-6757,1751-6765,4,4,4
EUROPEAN JOURNAL OF MANAGEMENT AND BUSINESS ECONOMICS,GEN MAN,2444-8451,2444-8494,,,4
EUROPEAN JOURNAL OF MARKETING,MKG,0309-0566,1758-7123,3,2,2
EUROPEAN JOURNAL OF OPERATIONAL RESEARCH,GEN MAN,0377-2217,1872-6860,1,1,1
EUROPEAN JOURNAL OF PUBLIC HEALTH,HLTH,1101-1262,1464-360X,3,3,4
EUROPEAN JOURNAL OF THE HISTORY OF ECONOMIC THOUGHT,BUS HIST,0967-2567,1469-5936,3,3,3
EUROPEAN JOURNAL OF TOURISM RESEARCH,SECTOR,1314-0817,1994-7658,,,4
EUROPEAN JOURNAL OF TRAINING AND DEVELOPMENT,EDUC,2046-9012,2046-9020,,,4
EUROPEAN JOURNAL OF WORK & ORGANIZATIONAL PSYCHOLOGY,HRM,1359-432X,1464-0643,3,3,3
EUROPEAN MANAGEMENT JOURNAL,GEN MAN,0263-2373,1873-5681,3,3,3
EUROPEAN MANAGEMENT REVIEW,GEN MAN,1740-4754,1740-4762,2,2,2
EUROPEAN SPORT MANAGEMENT QUARTERLY,SECTOR,1618-4742,1746-031X,,,3
EUROPE-ASIA STUDIES,INT,0966-8136,1465-3427,4,4,4
"EVALUATION: THE INTERNATIONAL JOURNAL OF THEORY, RESEARCH AND PRACTICE",PUB MAN,1356-3890,1461-7153,3,3,3
EXPERT SYSTEMS,MIS,0266-4720,1468-0394,,,4
EXPERT SYSTEMS WITH APPLICATIONS,MIS,0957-4174,1873-6793,3,3,3
FACILITIES,SECTOR,0263-2772,1758-7131,,4,4
FAMILY BUSINESS REVIEW,INNOV,0894-4865,1741-6248,2,2,2
FEMINIST REVIEW,HRM,0141-7789,1466-4380,,,4
FINANCE,FIN,0752-6180,2101-0145,2,2,2
FINANCE AND STOCHASTICS,FIN,0949-2984,1432-1122,2,2,2
FINANCE CONTRÔLE STRATÉGIE,FIN,1287-1141,2261-5512,3,3,3
FINANCE RESEARCH LETTERS,FIN,1544-6123,1544-6131,3,3,3
FINANCIAL ACCOUNTABILITY AND MANAGEMENT,ACC,0267-4424,1468-0408,3,3,4
FINANCIAL ANALYSTS JOURNAL,FIN,0015-198X,1938-3312,2,2,2
FINANCIAL HISTORY REVIEW,BUS HIST,0968-5650,1474-0052,4,4,4
FINANCIAL MANAGEMENT,FIN,0046-3892,1755-053X,2,2,2
FINANCIAL MARKETS AND PORTFOLIO MANAGEMENT,FIN,1555-4961,1555-4961,4,4,4
"FINANCIAL MARKETS, INSTITUTIONS AND INSTRUMENTS",FIN,0963-8008,1468-0416,3,3,3
FINANCIAL REVIEW,FIN,0732-8516,1540-6288,3,3,3
FLEXIBLE SERVICES AND MANUFACTURING JOURNAL (FORMERLY: INTERNATIONAL JOURNAL OF MANUFACTURING SYSTEMS),LOG,1936-6582,1936-6590,3,4,4
FOOD POLICY,MKG,0306-9192,1873-5657,,3,3
FOOD QUALITY AND PREFERENCE,MKG,0950-3293,1873-6343,,,4
FUTURES,INNOV,0016-3287,1873-6378,3,3,3
GENDER AND SOCIETY,BUS SOC,0891-2432,1552-3977,,3,2
GENDER ISSUES,HRM,1098-092X,1936-4717,,,4
"GENDER, WORK AND ORGANIZATION",HRM,0968-6673,1468-0432,3,2,2
GENEVA PAPERS ON RISK AND INSURANCE: ISSUES AND PRACTICE,FIN,1018-5895,1468-0440,3,3,3
GÉRER ET COMPRENDRE,GEN MAN,0295-4397,2271-7943,3,3,4
GESTION ET MANAGEMENT PUBLIC,PUB MAN,,2116-8865,3,2,3
GLOBAL ENVIRONMENTAL CHANGE,BUS SOC,0959-3780,1872-9495,,3,2
GLOBAL FINANCE JOURNAL,FIN,1044-0283,1873-5665,4,4,4
GLOBAL STRATEGY JOURNAL,STRAT,2042-5791,2042-5805,3,2,1
GOVERNANCE,PUB MAN,0952-1895,1468-0491,3,3,2
GOVERNMENT INFORMATION QUARTERLY,MIS,0740-624X,1872-9517,,,3
GROUP AND ORGANIZATION MANAGEMENT,HRM,1059-6011,1552-3993,2,2,2
GROUP DECISION AND NEGOTIATION,HRM,0926-2644,1572-9907,3,3,3
"GROUP DYNAMICS: THEORY, RESEARCH AND PRACTICE",ORG STUD,1089-2699,1930-7802,3,3,3
GROUP PROCESSES AND INTERGROUP RELATIONS,ORG STUD,1368-4302,1461-7188,3,3,3
GROWTH AND CHANGE,INNOV,0017-4815,1468-2257,,4,3
HARVARD BUSINESS REVIEW,GEN MAN,0017-8012,0017-8012,2,2,2
HEALTH AFFAIRS,HLTH,0278-2715,1544-5208,1,1,2
HEALTH CARE MANAGEMENT REVIEW,HLTH,0361-6274,1550-5030,3,3,3
HEALTH CARE MANAGEMENT SCIENCE,HLTH,1386-9620,1572-9389,3,3,3
HEALTH ECONOMICS,HLTH,1057-9230,1099-1050,,,2
HEALTH INFORMATION AND LIBRARIES JOURNAL,HLTH,1471-1834,1471-1842,,,4
HEALTH INFORMATION MANAGEMENT JOURNAL,HLTH,1833-3575,1833-3583,,,4
HEALTH POLICY,HLTH,0168-8510,1872-6054,2,2,2
HEALTH POLICY AND PLANNING,HLTH,0268-1080,1460-2237,3,4,4
HEALTH SERVICES MANAGEMENT RESEARCH,HLTH,0951-4848,1758-1044,4,4,4
HEALTH SERVICES RESEARCH,HLTH,0017-9124,1475-6773,2,2,2
HIGHER EDUCATION,EDUC,0018-1560,1573-174X,,,4
HIGHER EDUCATION POLICY,EDUC,0952-8733,1740-3863,,,4
HIGHER EDUCATION QUARTERLY,EDUC,0951-5224,1468-2273,,,4
"HIGHER EDUCATION, SKILLS AND WORK-BASED LEARNING",EDUC,2042-3896,2042-390X,,,4
HISTORY OF POLITICAL ECONOMY,BUS HIST,0018-2702,1527-1919,,3,3
HUMAN PERFORMANCE,HRM,0895-9285,1532-7043,3,3,3
HUMAN RELATIONS,HRM,0018-7267,1741-282X,1,1,1
HUMAN RESOURCE DEVELOPMENT QUARTERLY,HRM,1044-8004,1532-1096,,4,4
HUMAN RESOURCE DEVELOPMENT REVIEW,HRM,1534-4843,1552-6712,4,4,4
HUMAN RESOURCE MANAGEMENT,HRM,0090-4848,1099-050X,1,1,1
HUMAN RESOURCE MANAGEMENT JOURNAL,HRM,0954-5395,1748-8583,2,2,1
HUMAN RESOURCE MANAGEMENT REVIEW,HRM,1053-4822,1873-7889,2,2,2
HUMAN-COMPUTER INTERACTION,MIS,0737-0024,1532-7051,,,3
"IEEE TRANSACTION ON SYSTEMS, MAN AND CYBERNETICS: SYSTEMS (FORMERLY ""IEEE TRANSACTIONS ON SYSTEMS, MAN AND CYBERNETICS - PART A: SYSTEMS AND HUMANS"")",MIS,2168-2216,2168-2232,3,3,2
IEEE TRANSACTIONS ON CYBERNETICS,MIS,2168-2267,2168-2275,,,4
IEEE TRANSACTIONS ON ENGINEERING MANAGEMENT,MIS,0018-9391,1558-0040,2,2,2
IEEE TRANSACTIONS ON EVOLUTIONARY COMPUTATION,MIS,1089-778X,1941-0026,,,4
IEEE TRANSACTIONS ON KNOWLEDGE AND DATA ENGINEERING,MIS,1041-4347,1041-4347,3,4,3
IEEE TRANSACTIONS ON SOFTWARE ENGINEERING,MIS,0098-5589,1939-3520,3,3,3
"IEEE TRANSACTIONS ON SYSTEMS, MAN, AND CYBERNETICS: SYSTEMS",MIS,2168-2216,2168-2232,,,3
IIM KOZHIKODE SOCIETY & MANAGEMENT REVIEW,GEN MAN,2321-029X,2321-029X,,4,4
ILR REVIEW (INDUSTRIAL AND LABOR RELATIONS REVIEW),HRM,0019-7939,2162-271X,3,2,2
IMA JOURNAL OF MANAGEMENT MATHEMATICS,GEN MAN,1471-678X,1471-6798,,4,4
IMPLEMENTATION SCIENCE,HLTH,1748-5908,1748-5908,3,4,4
INDUSTRIAL AND CORPORATE CHANGE,GEN MAN,0960-6491,1464-3650,2,2,2
INDUSTRIAL AND ORGANIZATIONAL PSYCHOLOGY - PERSPECTIVES ON SCIENCE AND PRACTICE,HRM,1754-9426,1754-9434,2,3,4
INDUSTRIAL MANAGEMENT AND DATA SYSTEMS,MIS,0263-5577,1758-5783,3,3,3
INDUSTRIAL MARKETING MANAGEMENT,MKG,0019-8501,1873-2062,2,2,2
INDUSTRIAL RELATIONS: A JOURNAL OF ECONOMY AND SOCIETY,HRM,0019-8676,1468-232X,2,1,1
INDUSTRY AND INNOVATION,INNOV,1366-2716,1469-8390,3,3,3
INFORMATION AND COMPUTER SECURITY,MIS,2056-4961,2056-497X,,,4
INFORMATION AND MANAGEMENT,MIS,0378-7206,1872-7530,1,2,1
INFORMATION AND ORGANIZATION,MIS,1471-7727,1873-7919,2,2,2
INFORMATION COMMUNICATION AND SOCIETY,MIS,1369-118X,1468-4462,,4,3
INFORMATION PROCESSING AND MANAGEMENT,MIS,0306-4573,1873-5371,,,3
INFORMATION RESOURCES MANAGEMENT JOURNAL,MIS,1040-1628,1533-7979,,,4
INFORMATION SCIENCES,MIS,1872-6291,1872-6291,,,4
INFORMATION SYSTEMS AND E-BUSINESS MANAGEMENT,MIS,1617-9846,1617-9854,,4,3
INFORMATION SYSTEMS FRONTIERS,MIS,1387-3326,1572-9419,3,3,2
INFORMATION SYSTEMS JOURNAL,MIS,1350-1917,1365-2575,1,1,1
INFORMATION SYSTEMS MANAGEMENT,MIS,1934-8703,1058-0530,,,4
INFORMATION SYSTEMS RESEARCH,MIS,1047-7047,1526-5536,1,1*,1*
INFORMATION TECHNOLOGY AND MANAGEMENT,MIS,1385-951X,1573-7667,,4,4
INFORMATION TECHNOLOGY AND PEOPLE,MIS,0959-3845,1758-5813,3,3,2
INFORMATION TECHNOLOGY FOR DEVELOPMENT,MIS,0268-1102,1554-0170,,,4
INFORMS JOURNAL ON APPLIED ANALYTICS,GEN MAN,0092-2102,1526-551X,,3,3
INFORMS TRANSACTIONS ON EDUCATION,EDUC,1532-0545,1532-0545,,,4
"INNOVATION: ORGANIZATION & MANAGEMENT (FORMERLY: INNOVATION: MANAGEMENT, POLICY AND PRACTICE)",INNOV,1447-9338,2204-0226,,4,3
INNOVATIONS IN EDUCATION AND TEACHING INTERNATIONAL,EDUC,1470-3297,1470-3300,,,4
"INNOVATIONS, REVUE D'ÉCONOMIE ET DE MANAGEMENT DE L'INNOVATION",INNOV,1267-4982,1965-0256,3,2,2
INSURANCE: MATHEMATICS AND ECONOMICS,FIN,0167-6687,1873-5959,3,3,3
INTERACTING WITH COMPUTERS,MIS,1873-7951,1873-7951,,,4
INTERNATIONAL BUSINESS REVIEW,INT,0969-5931,1873-6149,2,2,2
INTERNATIONAL ENTREPRENEURSHIP AND MANAGEMENT JOURNAL,INNOV,1554-7191,1555-1938,3,4,3
